"","X","Assemblage_2","Length","Width","Thickness","PC1","PC2","PC3","PC4","PC5","PC6","Min.age","Mid.age","Max.age","N","E","Chert","Basalt","Obsidian","Fossilied.Wood","Rhyolite","Quartzite","Mean_temperature","SD_temperature","Mean_precipiation","SD_precipitation"
"1",5,"06N-14W 60-200",40.9,21.8,8.1,-0.055,-0.001,-0.018,0.007,0.003,-0.001,NA,40,NA,9.63,41.87,1,1,1,0,0,0,17.1714084085052,1.40339240418516,730.365561551883,80.7964502605048
"2",6,"08N-07W  IIIb",44.7,23.7,8.6,-0.075,-0.014,-0.022,-0.001,0.005,-0.001,NA,40,NA,9.63,41.87,1,1,1,0,0,0,17.1714084085052,1.40339240418516,730.365561551883,80.7964502605048
"3",7,"08N-07W  IIIc",44.5,22.5,7.5,-0.038,-0.019,-0.036,0.001,0.01,0.006,NA,40,NA,9.63,41.87,1,1,1,0,0,0,17.1714084085052,1.40339240418516,730.365561551883,80.7964502605048
"4",8,"08N-07W IIIa",45.6,26.1,7.6,-0.035,-0.01,-0.025,-0.002,0.002,0.01,NA,40,NA,9.63,41.87,1,1,0,0,0,0,17.1714084085052,1.40339240418516,730.365561551883,80.7964502605048
"5",9,"08N-07W IIId",45.4,31.2,8.6,0.087,0.001,-0.043,-0.026,0.003,-0.005,NA,40,NA,9.63,41.87,1,1,1,0,0,0,17.1714084085052,1.40339240418516,730.365561551883,80.7964502605048
"6",1,"AHS",53.7,34,9.9,0.055,0,-0.014,0,-0.003,-0.009,93,111,123,5.41,35.9,1,1,0,0,1,0,23.398511636964,0.783689182771495,767.914865024974,96.4232858170078
"7",2,"BNS ",46.4,30.7,9.3,0.079,0.001,-0.022,-0.006,0.026,-0.023,195,200,205,5.41,35.9,1,1,0,0,0,0,22.4926692220823,0.762421347872011,853.921636806502,100.277758028577
"8",10,"Complex II, IIc-a",40.4,19.3,7.4,-0.089,-0.002,-0.019,0.015,-0.006,0.002,4,6,8,9.54,41.63,1,1,1,0,0,1,21.2748737276415,1.49692359967784,768.61135634306,85.3516340364259
"9",11,"Complex II, IId-f",36.2,19.1,6.5,-0.051,-0.017,0.018,-0.018,0,0.015,33,41,48,9.54,41.63,1,1,1,0,0,0,17.6091884089713,1.49720901419149,757.799233498897,89.0036073013164
"10",12,"GnJh 78",54.1,35.5,10.2,0.015,-0.02,0.041,0,-0.007,-0.002,NA,100,NA,0.52,35.9,1,1,1,0,0,0,17.6992370103687,1.32289178080256,1081.74537722255,103.088824746608
"11",13,"GnJh-15",25.6,18.2,6.4,0.059,0.057,0.043,-0.022,-0.016,0.014,396,431,465,0.52,35.9,0,1,0,0,0,0,16.1015206910215,1.32650651724191,1045.92937300515,98.9002953032582
"12",14,"GrJi 11",44.6,26.1,8.6,-0.011,0.024,-0.005,0.014,-0.006,-0.026,30,51,72,-0.48,36.1,0,0,1,0,0,0,10.8695971593125,0.479822003477932,1134.77640954577,83.6954879286668
"13",3,"GsJi 7",36.7,24.2,8.7,0.068,0.012,0.035,-0.003,-0.001,-0.016,50,85,120,-0.59,36.18,0,0,1,0,0,0,13.4645374802479,0.604819084533044,942.794427093363,100.582675204746
"14",4,"GsJi 8",46.5,30.2,10.2,0.057,-0.001,0.015,0,-0.004,0.004,50,85,120,-0.59,36.18,0,1,1,1,0,0,13.4645374802479,0.604819084533044,942.794427093363,100.582675204746
